date,cota_Mom,cota_beta,cota_valor
18/06/2009,0.568354778,0.713880577,0.876630009
19/06/2009,0.570630586,0.716519027,0.876383889
22/06/2009,0.544957091,0.70605783,0.847749606
23/06/2009,0.542675953,0.709732293,0.86279186
24/06/2009,0.542144894,0.696504153,0.874635763
25/06/2009,0.556254785,0.695826239,0.900144441
26/06/2009,0.562780181,0.697801435,0.901454831
29/06/2009,0.568661481,0.694312321,0.893619203
30/06/2009,0.563233053,0.685828556,0.889048652
01/07/2009,0.562777991,0.688767451,0.892796759
02/07/2009,0.558479635,0.681146739,0.887679122
03/07/2009,0.56729639,0.681530699,0.896144456
06/07/2009,0.562182156,0.684296943,0.907702323
07/07/2009,0.556675584,0.6772658,0.887999828
08/07/2009,0.555851942,0.677640595,0.877763008
09/07/2009,0.555661417,0.677408325,0.877462145
10/07/2009,0.561442152,0.678357228,0.871940693
13/07/2009,0.561891826,0.680852975,0.874669517
14/07/2009,0.560414149,0.678402364,0.873962721
15/07/2009,0.580236034,0.681953148,0.895014686
16/07/2009,0.587169534,0.687615252,0.900876675
17/07/2009,0.595157242,0.687496284,0.903910738
20/07/2009,0.60938816,0.688143492,0.905378769
21/07/2009,0.616323968,0.687786641,0.904412465
22/07/2009,0.618102843,0.686298959,0.918140504
23/07/2009,0.630482342,0.69648776,0.925449486
24/07/2009,0.638317753,0.697614026,0.931561924
